Название вакансии,Название компании,Зарплата,Ссылка на вакансию
Kernel developer (Linux-like systems),UserGate,не указана,https://tomsk.hh.ru/vacancy/88448241?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Стажер - разработчик АВАР,ООО Цифровые технологии и платформы,не указана,https://tomsk.hh.ru/vacancy/102786778?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Мобильный разработчик Middle (React Native),ООО Софт Инжиниринг,не указана,https://tomsk.hh.ru/vacancy/102736939?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
IOS разработчик (Swift),InlyIT,80 000 – 170 000 ₽ на руки,https://tomsk.hh.ru/vacancy/80868893?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Fullstack Web Developer (JS, TS) в офис, г. Томск",ООО СистемоСинтез,120 000 – 170 000 ₽ на руки,https://tomsk.hh.ru/vacancy/102860018?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист FoxPro/Delphi,Сеть магазинов Постелька,от 100 000 ₽ на руки,https://tomsk.hh.ru/vacancy/102540693?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Стройпарк,не указана,https://tomsk.hh.ru/vacancy/102569282?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior Java Developer (СЭД ТЕЗИС),Haulmont,не указана,https://tomsk.hh.ru/vacancy/98494249?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП/MES (г. Новосибирск),Рекрутинговое агентство The One,120 000 – 170 000 ₽ на руки,https://tomsk.hh.ru/vacancy/102762417?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list

